|Item description|functional||brand|subbrand|variant|content|content_uom
1701|Чай "Brooke Bond" черный гранулированный  125 г  карт/кор|Чай|0|Brooke Bond||черный гранулированный|125|г
1702|Чай "Brooke Bond" черный 100 г карт/кор|Чай|0|Brooke Bond||черный|100|г
1703|Чай "Brooke Bond" черный 100х1,8 г (180 г) карт/кор|Чай|0|Brooke Bond||черный|100|шт
1704|Чай "Brooke Bond" черный 25х1,8 г (45 г) карт/кор|Чай|0|Brooke Bond||черный|25|шт
1705|Чай "Estate" зеленый 200гр ж/б|Чай|0|Estate||зеленый|200|г
1706|Чай "Estate" мелколистовой 250 гр ж/б|Чай|0|Estate||мелколистовой|250|г
1707|Чай "Greenfield" зеленый Flying Dragon китайский 100г карт/кор (0357-16)|Чай|0|Greenfield|Flying Dragon|зеленый, китайский|100|г
1708|Чай "Greenfield" зеленый Japanese Sencha 100 г карт/кор (1612-16|Чай|0|Greenfield|Japanese Sencha|зеленый|100|г
1709|Чай "Greenfield" зеленый Jasmine Dream 100г карт/кор (0372-16)|Чай|0|Greenfield|Jasmine Dream|зеленый|100|г
1710|Чай "Greenfield" черный Classic Breakfast индийский 100 г карт/кор (0353-16)|Чай|0|Greenfield|Classic Breakfast|черный индийский|100|г
1711|Чай "Greenfield" черный Golden Ceylon 100г карт/кор (0351-14)|Чай|0|Greenfield|Golden Ceylon|черный |100|г
1712|Чай "Greenfield" черный Kenyan Junrise 100 г карт/кор (487-16)|Чай|0|Greenfield|Kenyan Junrise|черный|100|г
1713|Чай "Greenfield" белый White Bloom китайский 25х1,5 г (50г) в инд/уп (0619-15)|Чай|0|Greenfield|White Bloom|белый китайский|25|шт
1714|Чай "Greenfield" зеленый Flying Dragon китайский 100х2г в инд/уп (0585-09)|Чай|0|Greenfield|Flying Dragon|зеленый китайский|100|шт
1715|Чай "Greenfield" зеленый Flying Dragon китайский 25х2г (50г) в инд/уп (0358-15)|Чай|0|Greenfield|Flying Dragon|зеленый китайский|25|шт
1716|Чай "Greenfield" зеленый Japanese Sencha 25х1.5г (38г) (0535-15)|Чай|0|Greenfield|Japanese Sencha|зеленый |25|шт
1717|Чай "Greenfield" зеленый Jasmine Dream 100х2г (200г) в инд/уп (0586-09)|Чай|0|Greenfield|Jasmine Dream|зеленый |100|шт
1718|Чай "Greenfield" зеленый Jasmine Dream 25х 2 г (50 г) в инд/уп (0373-15)|Чай|0|Greenfield|Jasmine Dream|зеленый |25|шт
1719|Чай "Greenfield" зеленый Lotus Breeza 25х1.5г (37,5г) в инд/уп (0470-10)|Чай|0|Greenfield|Lotus Breeza|зеленый |25|шт
1720|Чай "Greenfield" зеленый Melissa 25х1.5г (37,5г) в инд/уп (0435-10)|Чай|0|Greenfield|Melissa|зеленый |25|шт
1721|Чай "Greenfield" зеленый Tropical Marvel 25х2г (50г) в инд/упак (0654-10)|Чай|0|Greenfield|Tropical Marvel|зеленый |25|шт
1722|Чай "Greenfield" травяной Camomile Meadow 25х1,5г (37,5г) в инд/уп (0523-10)|Чай|0|Greenfield|Camomile Meadow|травяной|25|шт
1723|Чай "Greenfield" травяной Creamy Rooibos 25х1.5г (37,5г) в инд/уп (0524-10)|Чай|0|Greenfield|Creamy Rooibos|травяной|25|шт
1724|Чай "Greenfield" травяной Festive Grape 25х2г (50г) в инд/уп (0522-10)|Чай|0|Greenfield|Festive Grape|травяной|25|шт
1725|Чай "Greenfield" травяной Ginger Red 25х2г (50г) в инд/уп (0469-10)|Чай|0|Greenfield|Ginger Red|травяной|25|шт
1726|Чай "Greenfield" травяной Honey Rooibos 25х1.5г (38г) (0430-10)|Чай|0|Greenfield|Honey Rooibos|травяной|25|шт
1727|Чай "Greenfield" травяной Mate Aguante 25х1.5г (38г) (0431-10)|Чай|0|Greenfield|Mate Aguante|травяной|25|шт
1728|Чай "Greenfield" травяной Rich Camomile 25х1.5г (37,5г) в инд/уп (0432-10)|Чай|0|Greenfield|Rich Camomile|травяной|25|шт
1729|Чай "Greenfield" травяной Summer Bouquet 25х2г (50г) в инд/уп (0433-10)|Чай|0|Greenfield|Summer Bouquet|травяной|25|шт
1730|Чай "Greenfield" черный Barberry Garden 25х1,5г (37,5г) в инд/уп (0710-10)|Чай|0|Greenfield|Barberry Garden|черный|25|шт
1731|Чай "Greenfield" черный Christmas Mystery 25х1.5г (37,5г) в инд/уп (0434-10)|Чай|0|Greenfield|Christmas Mystery|черный|25|шт
1732|Чай "Greenfield" черный Classic Breakfast индийский 100х2г в инд/уп (0582-09)|Чай|0|Greenfield|Classic Breakfast|черный индийский|100|шт
1733|Чай "Greenfield" черный Classic Breakfast индийский 25х2г в инд/уп (0354-15)|Чай|0|Greenfield|Classic Breakfast|черный индийский|25|шт
1734|Чай "Greenfield" черный Delicate Keemun 25х2г (50г) в инд/уп (0467-15)|Чай|0|Greenfield|Delicate Keemun|черный|25|шт
1735|Чай "Greenfield" черный Earl Grey Fantasy 25х2г (50г) в инд/уп (0427-15)|Чай|0|Greenfield|Earl Grey Fantasy|черный|25|шт
1736|Чай "Greenfield" черный Easter Cheer 25х1.5г (37,5г) в инд/уп (0526-10)|Чай|0|Greenfield|Easter Cheer|черный|25|шт
1737|Чай "Greenfield" черный Fine Darjeeling 25 х 2 г (50 г) в инд/уп (0442-15)|Чай|0|Greenfield|Fine Darjeeling|черный|25|шт
1738|Чай "Greenfield" черный Golden Ceylon 100х2г (200г) в инд/уп (0581-09)|Чай|0|Greenfield|Golden Ceylon|черный|100|шт
1739|Чай "Greenfield" черный Golden Ceylon 25х2г (50г) в инд/уп (0352-15)|Чай|0|Greenfield|Golden Ceylon|черный|25|шт
1740|Чай "Greenfield" черный Kenyan Sunrise 25х2г (50г) в инд/уп (0489-15)|Чай|0|Greenfield|Kenyan Sunrise|черный|25|шт
1741|Чай "Greenfield" черный Lapsang Souchong 25х2г (50г) в инд/уп (0631-15)|Чай|0|Greenfield|Lapsang Souchong|черный|25|шт
1742|Чай "Greenfield" черный Lemon Spark 25х1,5г (37,5г) в инд/уп (0711-10)|Чай|0|Greenfield|Lemon Spark|черный|25|шт
1743|Чай "Greenfield" черный Magic Yunnan китайский 25х2г (50г) в инд/уп (0356-15)|Чай|0|Greenfield|Magic Yunnan|черный китайский|25|шт
1744|Чай "Greenfield" черный Noble Pu-Erh  китайский 25х2г (50г) в инд/уп (0613-15)|Чай|0|Greenfield|Noble Pu-Erh|черный китайский|25|шт
1745|Чай "Greenfield" черный Spring Melody 25х1.5г (37,5г) в инд/уп (0525-10)|Чай|0|Greenfield|Spring Melody|черный|25|шт
1746|Чай "Greenfield" черный Vanilla Wave 25х1,5г (37,5г) в инд/уп (0712-10)|Чай|0|Greenfield|Vanilla Wave|черный|25|шт
1747|Чай "HILLTOP" Collection Волшебная Луна черный + зеленый круп/лист 100 г ж/б|Чай|0|HILLTOP|Collection |Волшебная Луна черный + зеленый круп/лист|100|г
1748|Чай "HILLTOP" Collection Зеленая Симфония  кр/лист.  100 г ж/б|Чай|0|HILLTOP|Collection |Зеленая Симфония  кр/лист.|100|г
1749|Чай "HILLTOP" Collection Легкий  мятный коктель черный с травами 100 г ж/б|Чай|0|HILLTOP|Collection |Легкий  мятный коктель черный с травами|100|г
1750|Чай "HILLTOP" Collection Цейлонское Утро черный байховый кр/лист. в/с 100 г ж/б|Чай|0|HILLTOP|Collection |Цейлонское Утро черный байховый кр/лист. в/с|100|г
1751|Чай "HILLTOP" Collection 1001 Ночь кр/лист. 100 г ж/б|Чай|0|HILLTOP|Collection ||1,001|�
1752|Чай "Lipton" Yellow Label 100 шт х 2 г|Чай|0|Lipton|Yellow Label||100|шт
1753|Чай "Lipton" Yellow Label 100 шт х 2 г /саше/|Чай|0|Lipton|Yellow Label||100|шт
1754|Чай "Lipton" Yellow Label 25 шт х 1,8 г /саше/|Чай|0|Lipton|Yellow Label||25|шт
1755|Чай "Lipton" Yellow Label 25 шт х 2 г|Чай|0|Lipton|Yellow Label||25|шт
1756|Чай "Lipton" Green tea Clear 100 х 2 г|Чай|0|Lipton|Green tea Clear||100|шт
1757|Чай "Lipton" African Red 20 пакетиков-пирамидок|Чай|0|Lipton|African Red||20|шт
1758|Чай "Lipton" Apple Cinnamon 20 пакетиков-пирамидок|Чай|0|Lipton|Apple Cinnamon||20|шт
1759|Чай "Lipton" Asian White Tea  20 пакетиков-пирамидок|Чай|0|Lipton|Asian White Tea||20|шт
1760|Чай "Lipton" Bleu Fruit Tea  20 пакетиков-пирамидок|Чай|0|Lipton|Bleu Fruit Tea||20|шт
1761|Чай "Lipton" Camomile 20 пакетиков-пирамидок|Чай|0|Lipton|Camomile||20|шт
1762|Чай "Lipton" Citrus 20 пакетиков-пирамидок|Чай|0|Lipton|Citrus||20|шт
1763|Чай "Lipton" Delicate Mint 20 пакетиков-пирамидок|Чай|0|Lipton|Delicate Mint||20|шт
1764|Чай "Lipton" Forest  Fruit Tea  20 пакетиков-пирамидок|Чай|0|Lipton|Forest  Fruit Tea||20|шт
1765|Чай "Lipton" Green Camomile Peach 20 пакетиков-пирамидок|Чай|0|Lipton|Green Camomile Peach||20|шт
1766|Чай "Lipton" Green Gunpowder 20 пакетиков-пирамидок|Чай|0|Lipton|Green Gunpowder||20|шт
1767|Чай "Lipton" Lemon Honey 20 пакетиков-пирамидок|Чай|0|Lipton|Lemon Honey||20|шт
1768|Чай "Lipton" Mild Сeylon 20 пакетиков-пирамидок|Чай|0|Lipton|Mild Сeylon||20|шт
1769|Чай "Lipton" Orange Jaipur 20 пакетиков-пирамидок|Чай|0|Lipton|Orange Jaipur||20|шт
1770|Чай "Lipton" Passion Raspberry 20 пакетиков-пирамидок|Чай|0|Lipton|Passion Raspberry||20|шт
1771|Чай "Lipton" Peach Mango 20 пакетиков-пирамидок|Чай|0|Lipton|Peach Mango||20|шт
1772|Чай "Lipton" Rich Rosehip 20 пакетиков-пирамидок|Чай|0|Lipton|Rich Rosehip||20|шт
1773|Чай "Lipton" Rosehip Blackcurrant 20 пакетиков-пирамидок|Чай|0|Lipton|Rosehip Blackcurrant||20|шт
1774|Чай "Lipton" Russian Earl Grey 20 пакетиков-пирамидок|Чай|0|Lipton|Russian Earl Grey||20|шт
1775|Чай "Lipton" Solid Assam 20 пакетиков-пирамидок|Чай|0|Lipton|Solid Assam||20|шт
1776|Чай "Lipton" Srilanka Treasure черный 20 пакетиков-пирамидок|Чай|0|Lipton|Srilanka Treasure черный||20|шт
1777|Чай "Lipton" Strawberry Raspberry 20 пакетиков-пирамидок|Чай|0|Lipton|Strawberry Raspberry||20|шт
1778|Чай "Lipton" Tropical Fruit Tea 20 пакетиков-пирамидок|Чай|0|Lipton|Tropical Fruit Tea||20|шт
1779|Чай "MILFORD" Lux Collction Ассорти фрукт/трав 25 шт х 2,25 г|Чай|0|MILFORD|Lux Collction|Ассорти фрукт/трав|25|шт
1780|Чай "MILFORD" Груша-Гранат 20 шт х 2,5 г (50 г)|Чай|0|MILFORD||гуша-Гранат|20|шт
1781|Чай "MILFORD" Ежевика-Малина 20 шт х 2,25 г|Чай|0|MILFORD||Ежевика-Малина|20|шт
1782|Чай "MILFORD" зеленый Лимон 20 шт х 1,75 г|Чай|0|MILFORD||зеленый Лимон|20|шт
1783|Чай "MILFORD" зеленый Мята 20 шт х 1,75 г (35 г)|Чай|0|MILFORD||зеленый Мята|20|шт
1784|Чай "MILFORD" зеленый Слива-Женьшень 20 шт х 1,75 г|Чай|0|MILFORD||зеленый Слива-Женьшень|20|шт
1785|Чай "MILFORD" зеленый 20 шт х 1,5 г (30 г)|Чай|0|MILFORD||зеленый|20|шт
1786|Чай "MILFORD" Ромашка 20 шт х 1,5 г (30 г)|Чай|0|MILFORD||Ромашка|20|шт
1787|Чай "MILFORD" Фруктовая мечта 20 шт х 2,25 г (45 г)|Чай|0|MILFORD||Фруктовая мечта|20|шт
1788|Чай "MILFORD" Черная смородина-Вишня 20 шт х 2,25 г (45 г)|Чай|0|MILFORD||Черная смородина-Вишня|20|шт
1789|Чай "MILFORD" Черника-Ваниль 20 шт х 2,75 г (55 г)|Чай|0|MILFORD||Черника-Ваниль|20|шт
1790|Чай "MILFORD" черный Английский завтрак 20 шт х 1,75 г (35 г)|Чай|0|MILFORD||черный Английский завтрак|20|шт
1791|Чай "MILFORD" черный Классический 20 шт х 1,75 г (35 г)|Чай|0|MILFORD||черный Классический|20|шт
1792|Чай "MILFORD" черный Клюква-Лист ежевики 20 шт х 1,5 г (30 г)|Чай|0|MILFORD||черный Клюква-Лист ежевики|20|шт
1793|Чай "MILFORD" черный Цейлон 20 шт х 1,75 г (35 г)|Чай|0|MILFORD||черный Цейлон|20|шт
1794|Чай "MILFORD" Шиповник 20 шт х 2 г|Чай|0|MILFORD||Шиповник|20|шт
1795|Чай "MILFORD" 12 трав 20 шт х 2,25 г|Чай|0|MILFORD|||20|шт
1796|Чай "Newby" English breakfast 125 г ж/б|Чай|0|Newby||English breakfast|125|г
1797|Чай "Newby" Ассам 125 г ж/б|Чай|0|Newby||Ассам|125|г
1798|Чай "Newby" Зеленая сенча 125 г ж/б|Чай|0|Newby||Зеленая сенча|125|г
1799|Чай "Newby" Цветок жасмина 125 г ж/б|Чай|0|Newby||Цветок жасмина|125|г
1800|Чай "Newby" Darjeeling 100 г карт/кор|Чай|0|Newby||Darjeeling|100|г
1801|Чай "Newby" Earl Grey 100 г карт/кор|Чай|0|Newby||Earl Grey|100|г
1802|Чай "Newby" English Breakfast 100 г карт/кор|Чай|0|Newby||English Breakfast|100|г
1803|Чай "Newby" Ассам 100 г карт/кор|Чай|0|Newby||Ассам|100|г
1804|Чай "Newby" Зеленая сенча 100 г карт/кор|Чай|0|Newby||Зеленая сенча|100|г
1805|Чай "Newby" Цветок жасмина 100 г карт/кор|Чай|0|Newby||Цветок жасмина|100|г
1806|Чай "Newby" Цейлон 100 г карт/кор|Чай|0|Newby||Цейлон|100|г
1807|Чай "Newby" Earl Grey (25 шт х 2 г) 50 г|Чай|0|Newby||Earl Grey (|25|шт
1808|Чай "Newby" Английский завтрак 25 шт х 2 г (50 г)|Чай|0|Newby||Английский завтрак|25|шт
1809|Чай "Newby" Ассам 25 шт х 2 г (50 г)|Чай|0|Newby||Ассам|25|шт
1810|Чай "Newby" Зеленая Сенча 25 шт х 2 г (50 г)|Чай|0|Newby||Зеленая Сенча|25|шт
1811|Чай "Newby" Зеленый лимон 25 шт х 2 г ( 50 г)|Чай|0|Newby||Зеленый лимон|25|шт
1812|Чай "Newby" Мята перечная 25 шт х 2 г (50 г)|Чай|0|Newby||Мята перечная|25|шт
1813|Чай "Newby" Ромашка 25 шт х 1,5 г (37,5 г)|Чай|0|Newby||Ромашка|25|шт
1814|Чай "Newby" Цветок жасмина  25 шт х 2 г ( 50 г)|Чай|0|Newby||Цветок жасмина|25|шт
1815|Чай "Newby" Цветок жасмина 50 шт х 2 г (100 г)|Чай|0|Newby||Цветок жасмина|50|шт
1816|Чай "Newby" Цейлон 25 шт х 2 г|Чай|0|Newby||Цейлон|25|шт
1817|Чай "Newby" Шиповник и Гибискус 25 шт х 3г|Чай|0|Newby||Шиповник и Гибискус|25|шт
1818|Чай "Riston" Green tea Jasmine 100 г карт/кор|Чай|0|Riston||Green tea Jasmine|100|г
1819|Чай "Riston" Зеленый крупнолистовой 100 г карт/кор|Чай|0|Riston||Зеленый крупнолистовой|100|г
1820|Чай "Riston" Зеленый Летняя Сенча 100 г карт/кор|Чай|0|Riston||Зеленый Летняя Сенча|100|г
1821|Чай "Riston" Ceylon Premium крупный лист 100 г карт/кор|Чай|0|Riston||Ceylon Premium крупный лист|100|г
1822|Чай "Riston" English elite tea листовой 100 г карт/кор|Чай|0|Riston||English elite tea листовой|100|г
1823|Чай "Riston" Ceylon Premium 100 шт х 2 г (200 г) с ярлычком карт/кор|Чай|0|Riston||Ceylon Premium|100|шт
1824|Чай "Riston" English elite tea 100 шт х 2 г (200 г) с ярлычком|Чай|0|Riston||English elite tea|100|шт
1825|Чай "Riston" English elite tea 25 шт х 2 г (50 г) с ярлычком карт/кор|Чай|0|Riston||English elite tea|25|шт
1826|Чай "Rolben" Classic черный цейлонский листовой 100 г карт/кор|Чай|0|Rolben||Classic черный цейлонский листовой|100|г
1827|Чай "Rolben" Green Dynasty зеленый листовой 100 г карт/кор|Чай|0|Rolben||Green Dynasty зеленый листовой|100|г
1828|Чай "Rolben" Imperial Jasmine зеленый с жасмином листовой 100 г карт/кор|Чай|0|Rolben||Imperial Jasmine зеленый с жасмином листовой|100|г
1829|Чай "Twinings" Collecnion  зеленый Ассорти 25 шт х 2 г (50 г)|Чай|0|Twinings||Collecnion  зеленый Ассорти|25|шт
1830|Чай "Twinings" зеленый Жасмин 25 шт х 2 г (50 г)|Чай|0|Twinings||зеленый Жасмин|25|шт
1831|Чай "Twinings" зеленый Лимон  25 шт х 2 г (50 г)|Чай|0|Twinings||зеленый Лимон|25|шт
1832|Чай "Twinings" зеленый Лимон 50 шт х 2 г (100 г)|Чай|0|Twinings||зеленый Лимон|50|шт
1833|Чай "Twinings" зеленый Лотос Апельсин 25 шт х 2 г (50 г)|Чай|0|Twinings||зеленый Лотос Апельсин|25|шт
1834|Чай "Twinings" зеленый Мята 25 шт х 2 г (50 г)|Чай|0|Twinings||зеленый Мята|25|шт
1835|Чай "Twinings" зеленый с яблоком 25 шт х 2 г (50 г)|Чай|0|Twinings||зеленый с яблоком|25|шт
1836|Чай "Twinings" зеленый Сенча 25 шт х 2 г (50 г)|Чай|0|Twinings||зеленый Сенча|25|шт
1837|Чай "Twinings" зеленый Эрл Грей 25 шт х 2 г (50 г)|Чай|0|Twinings||зеленый Эрл Грей|25|шт
1838|Чай "Twinings" Earl Grey 100г ж/б|Чай|0|Twinings||Earl Grey|100|г
1839|Чай "Twinings" English breakfast 100г ж/б|Чай|0|Twinings||English breakfast|100|г
1840|Чай "Twinings" Gunpowder 100г ж/б|Чай|0|Twinings||Gunpowder|100|г
1841|Чай "Twinings" Lady Grey 100 г ж/б|Чай|0|Twinings||Lady Grey|100|г
1842|Чай "Twinings" Classics Collection черный Ассорти 25 шт х 2 г (50 г)|Чай|0|Twinings||Classics Collection черный Ассорти|25|шт
1843|Чай "Twinings" Collection черный Ассорти Фруктовый 25 шт х 2 г (50 г)|Чай|0|Twinings||Collection черный Ассорти Фруктовый|25|шт
1844|Чай "Twinings" Origins Ceylon черный 25 шт х 2 г (50 г)|Чай|0|Twinings||Origins Ceylon черный|25|шт
1845|Чай "Twinings" Английский д/завтрака 25 шт х 2 г (50 г)|Чай|0|Twinings||Английский д/завтрака|25|шт
1846|Чай "Twinings" Английский д/завтрака 50 шт х 2 г (100 г)|Чай|0|Twinings||Английский д/завтрака|50|шт
1847|Чай "Twinings" черный Леди Грей лимон/ап. 25 шт х 2 г (50 г)|Чай|0|Twinings||черный Леди Грей лимон/ап.|25|шт
1848|Чай "Twinings" черный Эрл Грей с бергамотом 25 шт х 2 г (50 г)|Чай|0|Twinings||черный Эрл Грей с бергамотом|25|шт
1849|Чай "Зеленая Панда" Изумрудный Дракон (зеленый) 100 г ж/б 309|Чай|0|Зеленая Панда||Изумрудный Дракон (зеленый)|100|г
1850|Чай "Зеленая Панда" Сапфировый Дракон (бирюзовый) 100 г ж/б 314|Чай|0|Зеленая Панда||Сапфировый Дракон (бирюзовый)|100|г
1851|Чай "Зеленая Панда" Серебряный Дракон (зеленый) 100 г ж/б|Чай|0|Зеленая Панда||Серебряный Дракон (зеленый)|100|г
1852|Чай "Зеленая Панда" Колодец Дракона (зеленый) 50 г ст/б|Чай|0|Зеленая Панда||Колодец Дракона (зеленый)|50|г
1853|Чай "Зеленая Панда" Люй Ча Классический (зеленый) 100 г карт/кор|Чай|0|Зеленая Панда||Люй Ча Классический (зеленый)|100|г
1854|Чай "Зеленая Панда" Мей Ли зелен. с жасмином кр.лист 75 г туба 422|Чай|0|Зеленая Панда||Мей Ли зелен. с жасмином кр.лист|75|г
1855|Чай "Зеленая Панда" Мей Ли зеленый байховый кр.лист 50 г туба 421|Чай|0|Зеленая Панда||Мей Ли зеленый байховый кр.лист|50|г
1856|Чай "Зеленая Панда" Моли Хуа Ча Зеленый Жасмин 100 г карт/кор|Чай|0|Зеленая Панда||Моли Хуа Ча Зеленый Жасмин|100|г
1857|Чай "Зеленая Панда" Моли Чжень Чжу  Жасминовая  Жемчужина (зеленый) 100 г карт/к|Чай|0|Зеленая Панда||Моли Чжень Чжу  Жасминовая  Жемчужина (зеленый)|100|г
1858|Чай "Зеленая Панда" Дун Дин У Лун Молочный Туман (бирюзовый) 100 г карт/кор 225|Чай|0|Зеленая Панда||Дун Дин У Лун Молочный Туман (бирюзовый)|100|г
1859|Чай "Зеленая Панда" Кит. красн. аром. кр.лист Императорский Дракон 100 г ж/б 313|Чай|0|Зеленая Панда||Кит. красн. аром. кр.лист Императорский Дракон|100|г
1860|Чай "Зеленая Панда" Китайск. красный крупн. лист Красный Дракон 100 г ж/б 315|Чай|0|Зеленая Панда||Китайск. красный крупн. лист Красный Дракон|100|г
1861|Чай "Зеленая Панда" Китайск. красный крупн. лист Черный Дракон 100 г ж/б 316|Чай|0|Зеленая Панда||Китайск. красный крупн. лист Черный Дракон|100|г
1862|Чай "Зеленая Панда" Китайск. красный крупн.лист в/с Золотой Дракон 100 г ж/б 311|Чай|0|Зеленая Панда||Китайск. красный крупн.лист в/с Золотой Дракон|100|г
1863|Чай "Зеленая Панда" Китайск.черный байх. сред.лист Огненный дракон 100 г ж/б 312|Чай|0|Зеленая Панда||Китайск.черный байх. сред.лист Огненный дракон|100|г
1864|Чай "Зеленая Панда" Мей Ли черн. байх. с аром. розы 75 г туба 425|Чай|0|Зеленая Панда||Мей Ли черн. байх. с аром. розы|75|г
1865|Чай "Зеленая Панда" Мей Ли черн. с аром. Цветущего сада 75 г туба 424|Чай|0|Зеленая Панда||Мей Ли черн. с аром. Цветущего сада|75|г
1866|Чай "Зеленая Панда" У Лун Черный Дракон 100 г карт/кор 205|Чай|0|Зеленая Панда||У Лун Черный Дракон|100|г
1867|Чай "Лисма" индийский насыщенный 100 шт х 2 г (200 гр) с ярлычком|Чай|0|Лисма||индийский насыщенный|100|шт
1868|Чай "Принцесса Нури" Букет черный цейлонский 250 г карт/кор.(0320-20)|Чай|0|Принцесса Нури||Букет черный цейлонский|250|г
1869|Чай "Принцесса Нури" Эрл Грей цейлонский черный с аром.бергамота 250 г карт/кор.|Чай|0|Принцесса Нури||Эрл Грей цейлонский черный с аром.бергамота|250|г
1870|Чайный напиток "MILFORD" Мята перечная 20 шт х 1,5 г (30 г)|Чайный напиток|1|MILFORD||Мята перечная|20|шт
1871|Чернослив "Good food"  б/кост. 1 кг пл/б|Чернослив|1|Good Food||б/кост.|1|кг
1872|Чернослив "Good food"  б/кост. 200 г|Чернослив|0|Good Food||б/кост.|200|г
1873|Чернослив "Good food"  б/кост. 450 г|Чернослив|0|Good Food||б/кост.|450|г
1874|Чернослив "Good food"  Малиновка б/кост. 1000 г пакет|Чернослив|0|Good Food||Малиновка б/кост.|1,000|г
1875|Чернослив "Seeberger" экстра крупный б/кост. 200 г|Чернослив|0|Seeberger||экстра крупный б/кост.|200|г
1876|Черный перец "Kotanyi " Мельница горошек 41 г|Черный перец|1|KOTANYI||Мельница горошек|41|г
1877|Чечевица "Мистраль" зеленая 450 г пакет|Чечевица|1|Мистраль||зеленая|450|г
1878|Чечевица "Мистраль" Пардина ореховая 450 г|Чечевица|0|Мистраль||Пардина ореховая|450|г
1879|Чипсы "Estrella" с солью  90 г|Чипсы|1|Estrella||с солью|90|г
1880|Чипсы "Estrella" Сметана и лук  90 г|Чипсы|0|Estrella||Сметана и лук|90|г
1881|Чипсы "Estrella" Сметана и Нежный сыр  90 г|Чипсы|0|Estrella||Сметана и Нежный сыр|90|г
1882|Чипсы "Lays" Max Сметана и лук 28 г|Чипсы|0|Lays||Max Сметана и лук|28|г
1883|Чипсы "Lays" Max Сметана и лук 90 г|Чипсы|0|Lays||Max Сметана и лук|90|г
1884|Чипсы "Lays" Белые грибы и сметана  90 г|Чипсы|0|Lays||Белые грибы и сметана|90|г
1885|Чипсы "Lays" Зеленый лук  28 г|Чипсы|0|Lays||Зеленый лук|28|г
1886|Чипсы "Lays" Зеленый лук  90 г|Чипсы|0|Lays||Зеленый лук|90|г
1887|Чипсы "Lays" Золотистые натуральные 85 г|Чипсы|0|Lays||Золотистые натуральные|85|г
1888|Чипсы "Lays" Краб   90 г|Чипсы|0|Lays||Краб|90|г
1889|Чипсы "Lays" Краб  28 г|Чипсы|0|Lays||Краб|28|г
1890|Чипсы "Lays" Сметана и зелень  90 г|Чипсы|0|Lays||Сметана и зелень|90|г
1891|Чипсы "Lays" Сыр  28 г|Чипсы|0|Lays||Сыр|28|г
1892|Чипсы "Lays" Сыр  85 г|Чипсы|0|Lays||Сыр|85|г
1893|Чипсы "Lays" Шашлык 90 г|Чипсы|0|Lays||Шашлык|90|г
1894|Чипсы "Pringles" original соленые 165 г|Чипсы|0|Pringles||original соленые|165|г
1895|Чипсы "Pringles" лук/сметана 165 г|Чипсы|0|Pringles||лук/сметана|165|г
1896|Чипсы "Еstrella" Зеленый Лук 90 г|Чипсы|0|Еstrella||Зеленый Лук|90|г
1897|Чист/крем "Сиф" Актив-хлор 500 мл|Чист/крем|1|Сиф||Актив-хлор|500|мл
1898|Чист/крем "Сиф" Лимон 250 мл|Чист/крем|0|Сиф||Лимон|250|мл
1899|Чист/крем "Сиф" Лимон 500 мл|Чист/крем|0|Сиф||Лимон|500|мл
1900|Чист/порошок "Comet" Лимон  250 г п/пакет|Чист/порошок|1|Comet||Лимон|250|г
1901|Чист/порошок "Comet" Лимон  400 г п/банка|Чист/порошок|0|Comet||Лимон|400|г
1902|Чист/порошок "Comet" Флеш Сосна 400 г п/банка|Чист/порошок|0|Comet||Флеш Сосна|400|г
1903|Чист/порошок "Pemosuper" Антиржавчина 400 г пл/банка|Чист/порошок|0|Pemosuper||Антиржавчина|400|г
1904|Чист/порошок "Пемолюкс" Морозный лимон для удаления жира 400 г пл/банка|Чист/порошок|0|Пемолюкс||Морозный лимон для удаления жира|400|г
1905|Чист/порошок "Пемолюкс" сода эффект Сирень 400 г|Чист/порошок|0|Пемолюкс||сода эффект Сирень|400|г
1906|Чист/порошок "Пемолюкс" эффект соды Морской бриз для удаления жира 400 г|Чист/порошок|0|Пемолюкс||эффект соды Морской бриз для удаления жира|400|г
1907|Чист/порошок "Пемолюкс" эффект соды Яблоко 400 г|Чист/порошок|0|Пемолюкс||эффект соды Яблоко|400|г
1908|Чист/ср "Pronto" д/мытья деревянных полов 750 мл|Чист/ср|1|Pronto||д/мытья деревянных полов|750|мл
1909|Чист/сред "Luxus" Professional Чистая ванна Грейпфрут 600 мл (курок)|Чист/сред|1|Luxus||Professional Чистая ванна Грейпфрут|600|мл
1910|Чист/сред "Мистер Мускул" для ванной 5 в 1 500 мл (с куроком)|Чист/сред|0|Мистер Мускул||для ванной|5|мл
1911|Чист/сред. "Cillit" Bang  Анти-Жир  (жидкий) 750 мл|Чист/сред.|1|Cillit||Bang  Анти-Жир  (жидкий)|750|мл
1912|Чист/сред. "Cillit" Bang  Анти-Жир  (с курком) 750 мл|Чист/сред.|0|Cillit||Bang  Анти-Жир  (с курком)|750|мл
1913|Чист/сред. "Cillit" Bang д/удал. известкого налета и ржавчины (жидкий) 750 мл|Чист/сред.|0|Cillit||Bang д/удал. известкого налета и ржавчины (жидкий)|750|мл
1914|Чист/сред. "Cillit" Bang д/удал. известкого налета и ржавчины (с курком) 750 мл|Чист/сред.|0|Cillit||Bang д/удал. известкого налета и ржавчины (с курком)|750|мл
