GTIN,BaseUnit,NetWeight,NetWeightUnitOfMeasure
7702018867820,BI,0.067,KGM
7702018962075,PI,0.402,KGM
7702018867837,PI,0.402,KGM
5013965448591,PI,120.6,KGM
7702018867844,PI,2.412,KGM
5013965234712,PI,120.6,KGM
7702018867851,BI,0.006,KGM
7702018867868,PI,0.06,KGM
7702018970186,PI,0.12,KGM
7702018961818,PI,4.8,KGM
5013965448584,PI,115.2,KGM
7702018867875,PI,2.4,KGM
5013965306129,PI,57.6,KGM
7702018867912,BI,0.02,KGM
7702018032884,PI,0.2,KGM
7702018867929,PI,0.2,KGM
7702018970155,PI,0.2,KGM
7702018959051,PI,8,KGM
5013965445071,PI,160,KGM
7702018867936,PI,8,KGM
5013965306150,PI,160,KGM
5013965388446,PI,160,KGM
7702018032891,PI,0.8,KGM
5013965558948,PI,160,KGM
7702018874125,BI,0.12,KGM
7702018874132,PI,0.72,KGM
7702018874149,PI,4.32,KGM
5013965305009,PI,86.4,KGM
7702018874293,BI,0.05,KGM
7702018874309,PI,0.6,KGM
7702018874316,PI,3.6,KGM
5013965299773,PI,64.8,KGM
7702018874323,BI,0.06,KGM
7702018874330,PI,0.72,KGM
7702018874347,PI,4.32,KGM
5013965305078,PI,77.76,KGM
7702018874460,BI,0.04,KGM
7702018962747,PI,8,KGM
7702018962808,PI,8,KGM
7702018874477,PI,0.4,KGM
7702018032969,PI,0.4,KGM
7702018963881,PI,0.4,KGM
7702018963843,PI,0.4,KGM
5013965453632,PI,96,KGM
5013965450679,PI,96,KGM
7702018874484,PI,8,KGM
5013965305085,PI,96,KGM
5013965450600,PI,96,KGM
5013965453601,PI,134.4,KGM
7702018032976,PI,1.6,KGM
5013965559037,PI,96,KGM
7702018877478,BI,0.03,KGM
7702018962754,PI,6,KGM
7702018032983,PI,0.3,KGM
7702018962815,PI,6,KGM
7702018877485,PI,0.3,KGM
5013965450686,PI,72,KGM
7702018877492,PI,6,KGM
5013965305283,PI,72,KGM
5013965450655,PI,72,KGM
7702018032990,PI,1.2,KGM
5013965559051,PI,72,KGM
7702018877508,BI,0.056,KGM
7702018033003,PI,0.56,KGM
7702018877515,PI,0.56,KGM
7702018960392,PI,0.56,KGM
7702018877522,PI,11.2,KGM
5013965305290,PI,134.4,KGM
5013965447549,PI,134.4,KGM
7702018033010,PI,2.24,KGM
5013965559075,PI,134.4,KGM
7702018877539,BI,0.072,KGM
7702018877546,PI,0.432,KGM
7702018877553,PI,2.592,KGM
5013965305306,PI,51.84,KGM
7702018877560,BI,0.03,KGM
7702018877577,PI,0.3,KGM
7702018032921,PI,0.3,KGM
7702018962761,PI,6,KGM
7702018962785,PI,6,KGM
5013965450624,PI,72,KGM
7702018877584,PI,6,KGM
5013965305313,PI,72,KGM
5013965450648,PI,72,KGM
7702018032938,PI,1.2,KGM
5013965558986,PI,72,KGM
7702018877591,BI,0.04,KGM
7702018032945,PI,0.4,KGM
7702018877607,PI,0.4,KGM
7702018963829,PI,0.4,KGM
7702018963836,PI,0.4,KGM
7702018962792,PI,8,KGM
7702018962778,PI,8,KGM
5013965450617,PI,96,KGM
5013965453625,PI,96,KGM
5013965450631,PI,96,KGM
7702018877614,PI,8,KGM
5013965305320,PI,96,KGM
5013965453618,PI,134.4,KGM
7702018032952,PI,1.6,KGM
5013965559013,PI,96,KGM
7702018877621,BI,0.056,KGM
7702018960408,PI,0.56,KGM
7702018877638,PI,0.56,KGM
5013965447556,PI,134.4,KGM
7702018877645,PI,11.2,KGM
5013965305337,PI,134.4,KGM
7702018880416,BI,0.49,KGM
7702018880430,PI,2.94,KGM
5013965304149,PI,123.48,KGM
7702018884308,BI,0.115,KGM
7702018884315,PI,0.69,KGM
7702018884322,PI,0.69,KGM
5013965125942,PI,34.5,KGM
7702018884346,BI,0.107,KGM
7702018884353,PI,0.642,KGM
7702018884360,PI,0.642,KGM
5013965125966,PI,32.1,KGM
7702018884377,BI,0.115,KGM
7702018884384,PI,0.69,KGM
7702018884391,PI,0.69,KGM
5013965125973,PI,34.5,KGM
7702018886272,BI,0.11,KGM
7702018886289,PI,0.66,KGM
7702018886296,PI,1.32,KGM
5013965445774,PI,72.6,KGM
7702018886401,BI,0.056,KGM
7702018886418,PI,0.56,KGM
7702018886425,PI,2.24,KGM
5013965517181,PI,112,KGM
7702018886432,BI,0.036,KGM
7702018886449,PI,0.36,KGM
7702018886456,PI,1.44,KGM
5013965517198,PI,72,KGM
7702018908677,BI,0.115,KGM
7702018908684,PI,0.69,KGM
5013965300523,PI,34.5,KGM
7702018908691,BI,0.115,KGM
7702018908707,PI,0.69,KGM
5013965300547,PI,34.5,KGM
7702018908714,BI,0.115,KGM
7702018908721,PI,0.69,KGM
5013965300561,PI,34.5,KGM
7702018908738,BI,0.115,KGM
7702018908745,PI,0.69,KGM
5013965300585,PI,34.5,KGM
7702018909315,BA,0.25,KGM
7702018909322,PI,1.5,KGM
5013965300349,PI,97.5,KGM
7702018910083,BI,0.03,KGM
7702018910090,PI,0.72,KGM
5013965299759,PI,51.84,KGM
7702018910106,BI,0.06,KGM
7702018910113,PI,0.72,KGM
5013965299223,PI,51.84,KGM
7702018910205,BI,0.085,KGM
7702018910212,PI,0.51,KGM
7702018910298,PI,3.06,KGM
5013965299728,PI,153,KGM
7702018910342,BI,0.023,KGM
7702018910359,PI,0.138,KGM
7702018910366,PI,0.828,KGM
5013965299735,PI,49.68,KGM
5013965294631,PI,49.68,KGM
7702018915408,BA,0.255,KGM
7702018915415,PI,1.53,KGM
5013965298042,PI,76.5,KGM
5013965409585,PI,110.16,KGM
7702018915422,BA,0.288,KGM
7702018915439,PI,1.728,KGM
5013965409578,PI,124.416,KGM
5013965298066,PI,86.4,KGM
7702018915446,BI,0.115,KGM
7702018915453,PI,0.69,KGM
5013965293023,PI,34.5,KGM
7702018915460,BI,0.115,KGM
7702018915477,PI,0.69,KGM
5013965293009,PI,34.5,KGM
7702018916504,BI,0.038,KGM
7702018916511,PI,0.228,KGM
7702018916528,PI,1.368,KGM
5013965445699,PI,68.4,KGM
5013965225147,PI,68.4,KGM
7702018920594,BI,0.205,KGM
7702018920600,PI,1.23,KGM
7702018920617,PI,7.38,KGM
5013965296079,PI,118.08,KGM
5013965296062,PI,118.08,KGM
7702018921201,BI,0.09,KGM
7702018921225,PI,0.54,KGM
5013965425219,PI,29.16,KGM
7702018922390,BI,0.39,KGM
7702018949526,PI,2.34,KGM
5013965425189,PI,98.28,KGM
